year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2063,VA_US,7.0,22.467,22,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2064,VA_US,7.0,23.684,24,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2065,VA_US,7.0,24.967,25,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2066,VA_US,7.0,26.318,26,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2067,VA_US,7.0,27.74,28,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2068,VA_US,7.0,29.238,29,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2069,VA_US,7.0,30.816,31,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2070,VA_US,7.0,32.477,32,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2071,VA_US,7.0,34.225,34,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2072,VA_US,7.0,36.066,36,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2073,VA_US,7.0,38.003,38,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2074,VA_US,7.0,40.041,40,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2075,VA_US,7.0,42.186,42,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2076,VA_US,7.0,44.442,44,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2077,VA_US,7.0,46.816,47,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2078,VA_US,7.0,49.312,49,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2079,VA_US,7.0,51.938,52,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2080,VA_US,7.0,54.698,55,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2081,VA_US,7.0,57.599,58,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2082,VA_US,7.0,60.648,61,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2083,VA_US,7.0,63.852,64,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2084,VA_US,7.0,67.218,67,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2085,VA_US,7.0,70.753,71,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2086,VA_US,7.0,74.465,74,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2087,VA_US,7.0,78.362,78,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2088,VA_US,7.0,82.452,82,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2089,VA_US,7.0,86.743,87,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2090,VA_US,7.0,91.245,91,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2091,VA_US,7.0,95.965,96,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
